id,name,brand,category,description,price,stock_quantity,location_info,coordinates_3d
PRD-5206485F,น้ำดื่มคริสตัล แพ็คคู่,Crystal,อาหาร/เครื่องดื่ม,หิวน้ำ ดับกระหาย คืนความสดชื่นให้ร่างกาย,19.13,37,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 6.0}"
PRD-EF2940AC,สปอนเซอร์ ออริจินัล,Sponsor,อาหาร/เครื่องดื่ม,เหนื่อยล้าจากการออกกำลังกาย ต้องการเกลือแร่ทดแทน,12.41,48,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""1"", ""shelf_level"": ""2""}","{""x"": 1.0, ""y"": 1.3, ""z"": 6.0}"
PRD-37CB1DDB,สปอนเซอร์ ออริจินัล ขนาดใหญ่,Sponsor,อาหาร/เครื่องดื่ม,เหนื่อยล้าจากการออกกำลังกาย ต้องการเกลือแร่ทดแทน,17.38,37,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""1"", ""shelf_level"": ""1""}","{""x"": 1.0, ""y"": 0.5, ""z"": 6.0}"
PRD-7917B407,สปอนเซอร์ ออริจินัล ขนาดเล็ก,Sponsor,อาหาร/เครื่องดื่ม,เหนื่อยล้าจากการออกกำลังกาย ต้องการเกลือแร่ทดแทน,9.14,26,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 6.0}"
PRD-A02471BD,สปอนเซอร์ ออริจินัล ขนาดเล็ก,Sponsor,อาหาร/เครื่องดื่ม,เหนื่อยล้าจากการออกกำลังกาย ต้องการเกลือแร่ทดแทน,10.37,32,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 6.0}"
PRD-976C9932,สปอนเซอร์ ออริจินัล ขนาดใหญ่,Sponsor,อาหาร/เครื่องดื่ม,เหนื่อยล้าจากการออกกำลังกาย ต้องการเกลือแร่ทดแทน,17.72,22,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 6.0}"
PRD-2FFE56C8,นมเมจิ รสจืด,Meiji,อาหาร/เครื่องดื่ม,หิวตอนเช้า ต้องการพลังงานและแคลเซียมอิ่มท้อง,34.11,4,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 6.0}"
PRD-73538C0E,นมเมจิ รสจืด ขนาดเล็ก,Meiji,อาหาร/เครื่องดื่ม,หิวตอนเช้า ต้องการพลังงานและแคลเซียมอิ่มท้อง,20.0,38,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""1""}","{""x"": 11.5, ""y"": 0.5, ""z"": 6.0}"
PRD-AA3AC295,นมเมจิ รสจืด รสชาติใหม่,Meiji,อาหาร/เครื่องดื่ม,หิวตอนเช้า ต้องการพลังงานและแคลเซียมอิ่มท้อง,36.55,11,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 6.0}"
PRD-8E9DFD4A,นมเมจิ รสจืด แพ็คคู่,Meiji,อาหาร/เครื่องดื่ม,หิวตอนเช้า ต้องการพลังงานและแคลเซียมอิ่มท้อง,34.13,45,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 6.0}"
PRD-48FD9FC0,กาแฟเบอร์ดี้ โรบัสต้า,Birdy,อาหาร/เครื่องดื่ม,ง่วงนอนตอนบ่าย ต้องการความตื่นตัว ตาค้าง,14.05,16,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""1""}","{""x"": 11.5, ""y"": 0.5, ""z"": 6.0}"
PRD-9546E3C0,กาแฟเบอร์ดี้ โรบัสต้า ขนาดใหญ่,Birdy,อาหาร/เครื่องดื่ม,ง่วงนอนตอนบ่าย ต้องการความตื่นตัว ตาค้าง,26.0,44,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 6.0}"
PRD-76D60E15,กาแฟเบอร์ดี้ โรบัสต้า แพ็คคู่,Birdy,อาหาร/เครื่องดื่ม,ง่วงนอนตอนบ่าย ต้องการความตื่นตัว ตาค้าง,25.51,38,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""2""}","{""x"": 11.5, ""y"": 1.3, ""z"": 6.0}"
PRD-E1020BA7,กาแฟเบอร์ดี้ โรบัสต้า รสชาติใหม่,Birdy,อาหาร/เครื่องดื่ม,ง่วงนอนตอนบ่าย ต้องการความตื่นตัว ตาค้าง,21.97,39,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""6"", ""shelf_level"": ""2""}","{""x"": 11.5, ""y"": 1.3, ""z"": 6.0}"
PRD-FB9C744D,กาแฟเบอร์ดี้ โรบัสต้า ขนาดเล็ก,Birdy,อาหาร/เครื่องดื่ม,ง่วงนอนตอนบ่าย ต้องการความตื่นตัว ตาค้าง,14.67,29,"{""zone"": ""A"", ""section"": ""2"", ""shelf"": ""2"", ""shelf_level"": ""1""}","{""x"": 3.5, ""y"": 0.5, ""z"": 6.0}"
PRD-61941EED,มาม่า รสต้มยำกุ้ง,Mama,อาหาร/กึ่งสำเร็จรูป,หิวตอนดึก ฝนตก อากาศเย็น อยากซดน้ำซุปร้อนๆ แซ่บๆ,14.63,7,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""1"", ""shelf_level"": ""1""}","{""x"": 1.0, ""y"": 0.5, ""z"": 9.0}"
PRD-1519F80D,มาม่า รสต้มยำกุ้ง ขนาดเล็ก,Mama,อาหาร/กึ่งสำเร็จรูป,หิวตอนดึก ฝนตก อากาศเย็น อยากซดน้ำซุปร้อนๆ แซ่บๆ,9.55,31,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""2"", ""shelf_level"": ""1""}","{""x"": 3.5, ""y"": 0.5, ""z"": 9.0}"
PRD-97A90191,มาม่า รสต้มยำกุ้ง ขนาดเล็ก,Mama,อาหาร/กึ่งสำเร็จรูป,หิวตอนดึก ฝนตก อากาศเย็น อยากซดน้ำซุปร้อนๆ แซ่บๆ,13.06,45,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""2"", ""shelf_level"": ""2""}","{""x"": 3.5, ""y"": 1.3, ""z"": 9.0}"
PRD-C0F8A147,โจ๊กคัพ รสหมู,Knorr,อาหาร/กึ่งสำเร็จรูป,ป่วยหรือตื่นสาย อยากได้อาหารเช้าย่อยง่ายๆ อุ่นท้อง,26.51,43,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""2"", ""shelf_level"": ""2""}","{""x"": 3.5, ""y"": 1.3, ""z"": 9.0}"
PRD-B9EB50E5,โจ๊กคัพ รสหมู รสชาติใหม่,Knorr,อาหาร/กึ่งสำเร็จรูป,ป่วยหรือตื่นสาย อยากได้อาหารเช้าย่อยง่ายๆ อุ่นท้อง,20.43,39,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""3"", ""shelf_level"": ""1""}","{""x"": 6.0, ""y"": 0.5, ""z"": 9.0}"
PRD-F2E6C785,โจ๊กคัพ รสหมู ขนาดเล็ก,Knorr,อาหาร/กึ่งสำเร็จรูป,ป่วยหรือตื่นสาย อยากได้อาหารเช้าย่อยง่ายๆ อุ่นท้อง,15.93,9,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 9.0}"
PRD-630548C3,โจ๊กคัพ รสหมู รสชาติใหม่,Knorr,อาหาร/กึ่งสำเร็จรูป,ป่วยหรือตื่นสาย อยากได้อาหารเช้าย่อยง่ายๆ อุ่นท้อง,15.08,33,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""3"", ""shelf_level"": ""2""}","{""x"": 6.0, ""y"": 1.3, ""z"": 9.0}"
PRD-224206DB,โจ๊กคัพ รสหมู ขนาดใหญ่,Knorr,อาหาร/กึ่งสำเร็จรูป,ป่วยหรือตื่นสาย อยากได้อาหารเช้าย่อยง่ายๆ อุ่นท้อง,33.81,21,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""1"", ""shelf_level"": ""1""}","{""x"": 1.0, ""y"": 0.5, ""z"": 9.0}"
PRD-01E95BC2,ปลากระป๋องสามแม่ครัว,สามแม่ครัว,อาหาร/กระป๋อง,ขี้เกียจทำอาหาร อยากได้กับข้าวทำง่ายๆ อร่อย,25.87,30,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""3"", ""shelf_level"": ""3""}","{""x"": 6.0, ""y"": 2.1, ""z"": 9.0}"
PRD-D04D82E6,ปลากระป๋องสามแม่ครัว แพ็คคู่,สามแม่ครัว,อาหาร/กระป๋อง,ขี้เกียจทำอาหาร อยากได้กับข้าวทำง่ายๆ อร่อย,32.69,32,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 9.0}"
PRD-046C1856,ปลากระป๋องสามแม่ครัว แพ็คคู่,สามแม่ครัว,อาหาร/กระป๋อง,ขี้เกียจทำอาหาร อยากได้กับข้าวทำง่ายๆ อร่อย,33.46,36,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""3""}","{""x"": 16.5, ""y"": 2.1, ""z"": 9.0}"
PRD-EAF2DD8B,ปลากระป๋องสามแม่ครัว แพ็คคู่,สามแม่ครัว,อาหาร/กระป๋อง,ขี้เกียจทำอาหาร อยากได้กับข้าวทำง่ายๆ อร่อย,41.23,21,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""3"", ""shelf_level"": ""1""}","{""x"": 6.0, ""y"": 0.5, ""z"": 9.0}"
PRD-18EFA26A,ปลากระป๋องสามแม่ครัว รสชาติใหม่,สามแม่ครัว,อาหาร/กระป๋อง,ขี้เกียจทำอาหาร อยากได้กับข้าวทำง่ายๆ อร่อย,32.47,24,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""6"", ""shelf_level"": ""3""}","{""x"": 11.5, ""y"": 2.1, ""z"": 9.0}"
PRD-D7F70469,ไวไว รสหอยลายผัดฉ่า,WaiWai,อาหาร/กึ่งสำเร็จรูป,เบื่อรสชาติเดิมๆ อยากกินมาม่าแห้งรสจัดจ้าน,21.89,36,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""3""}","{""x"": 16.5, ""y"": 2.1, ""z"": 9.0}"
PRD-B6BD23EE,ไวไว รสหอยลายผัดฉ่า รสชาติใหม่,WaiWai,อาหาร/กึ่งสำเร็จรูป,เบื่อรสชาติเดิมๆ อยากกินมาม่าแห้งรสจัดจ้าน,13.02,26,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""3"", ""shelf_level"": ""1""}","{""x"": 6.0, ""y"": 0.5, ""z"": 9.0}"
PRD-B8091BDA,ไวไว รสหอยลายผัดฉ่า แพ็คคู่,WaiWai,อาหาร/กึ่งสำเร็จรูป,เบื่อรสชาติเดิมๆ อยากกินมาม่าแห้งรสจัดจ้าน,27.66,1,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 9.0}"
PRD-07DAAC77,ข้าวสวยพร้อมทาน,หงษ์ทอง,อาหาร/สำเร็จรูป,หิวข้าวแต่ไม่มีเวลาหุง แค่เวฟก็อิ่มท้องได้เลย,17.17,38,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""1"", ""shelf_level"": ""3""}","{""x"": 1.0, ""y"": 2.1, ""z"": 9.0}"
PRD-BF30F98D,ข้าวสวยพร้อมทาน แพ็คคู่,หงษ์ทอง,อาหาร/สำเร็จรูป,หิวข้าวแต่ไม่มีเวลาหุง แค่เวฟก็อิ่มท้องได้เลย,24.02,43,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 9.0}"
PRD-3F0E3CB5,ข้าวสวยพร้อมทาน แพ็คคู่,หงษ์ทอง,อาหาร/สำเร็จรูป,หิวข้าวแต่ไม่มีเวลาหุง แค่เวฟก็อิ่มท้องได้เลย,29.68,6,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 9.0}"
PRD-E91DF208,ข้าวสวยพร้อมทาน แพ็คคู่,หงษ์ทอง,อาหาร/สำเร็จรูป,หิวข้าวแต่ไม่มีเวลาหุง แค่เวฟก็อิ่มท้องได้เลย,25.73,25,"{""zone"": ""A"", ""section"": ""3"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 9.0}"
PRD-355380D1,น้ำปลาแท้,ทิพรส,อาหาร/เครื่องปรุง,อาหารจืดไป อยากเพิ่มความเค็มและหอมให้อาหาร,34.65,12,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""5"", ""shelf_level"": ""1""}","{""x"": 14.0, ""y"": 0.5, ""z"": 12.0}"
PRD-5A1FB2E5,น้ำปลาแท้ รสชาติใหม่,ทิพรส,อาหาร/เครื่องปรุง,อาหารจืดไป อยากเพิ่มความเค็มและหอมให้อาหาร,30.09,39,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""3""}","{""x"": 16.5, ""y"": 2.1, ""z"": 12.0}"
PRD-8488B22C,น้ำปลาแท้ ขนาดเล็ก,ทิพรส,อาหาร/เครื่องปรุง,อาหารจืดไป อยากเพิ่มความเค็มและหอมให้อาหาร,30.38,21,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""2"", ""shelf_level"": ""2""}","{""x"": 3.5, ""y"": 1.3, ""z"": 12.0}"
PRD-30FA960B,น้ำปลาแท้ ขนาดเล็ก,ทิพรส,อาหาร/เครื่องปรุง,อาหารจืดไป อยากเพิ่มความเค็มและหอมให้อาหาร,30.56,37,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 12.0}"
PRD-2E21F144,น้ำปลาแท้ รสชาติใหม่,ทิพรส,อาหาร/เครื่องปรุง,อาหารจืดไป อยากเพิ่มความเค็มและหอมให้อาหาร,38.55,44,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""3"", ""shelf_level"": ""2""}","{""x"": 6.0, ""y"": 1.3, ""z"": 12.0}"
PRD-EC8E93A6,ซอสหอยนางรม,แม่ครัว,อาหาร/เครื่องปรุง,อยากผัดผักให้สีสวย รสชาติกลมกล่อม,40.08,22,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""6"", ""shelf_level"": ""1""}","{""x"": 11.5, ""y"": 0.5, ""z"": 12.0}"
PRD-91B25D36,ซอสหอยนางรม แพ็คคู่,แม่ครัว,อาหาร/เครื่องปรุง,อยากผัดผักให้สีสวย รสชาติกลมกล่อม,78.64,9,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 12.0}"
PRD-A88680F7,ซอสหอยนางรม ขนาดใหญ่,แม่ครัว,อาหาร/เครื่องปรุง,อยากผัดผักให้สีสวย รสชาติกลมกล่อม,59.43,31,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 12.0}"
PRD-9BF8C0A9,ซอสหอยนางรม แพ็คคู่,แม่ครัว,อาหาร/เครื่องปรุง,อยากผัดผักให้สีสวย รสชาติกลมกล่อม,64.55,6,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 12.0}"
PRD-EAA06A2D,ซีอิ๊วขาว,เด็กสมบูรณ์,อาหาร/เครื่องปรุง,ทำน้ำซุป อยากให้รสชาติกลมกล่อม หอมน่ากิน,32.34,11,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 12.0}"
PRD-8DD22BBD,ซีอิ๊วขาว แพ็คคู่,เด็กสมบูรณ์,อาหาร/เครื่องปรุง,ทำน้ำซุป อยากให้รสชาติกลมกล่อม หอมน่ากิน,68.62,8,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""6"", ""shelf_level"": ""3""}","{""x"": 11.5, ""y"": 2.1, ""z"": 12.0}"
PRD-535E7827,ซีอิ๊วขาว รสชาติใหม่,เด็กสมบูรณ์,อาหาร/เครื่องปรุง,ทำน้ำซุป อยากให้รสชาติกลมกล่อม หอมน่ากิน,46.46,40,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""5"", ""shelf_level"": ""3""}","{""x"": 14.0, ""y"": 2.1, ""z"": 12.0}"
PRD-B9B08A30,ซีอิ๊วขาว แพ็คคู่,เด็กสมบูรณ์,อาหาร/เครื่องปรุง,ทำน้ำซุป อยากให้รสชาติกลมกล่อม หอมน่ากิน,63.86,13,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""2"", ""shelf_level"": ""3""}","{""x"": 3.5, ""y"": 2.1, ""z"": 12.0}"
PRD-F088896C,น้ำตาลทราย,มิตรผล,อาหาร/เครื่องปรุง,ต้องการความหวาน เพิ่มรสชาติให้เมนูอาหาร,20.09,50,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 12.0}"
PRD-CD9FF607,น้ำตาลทราย รสชาติใหม่,มิตรผล,อาหาร/เครื่องปรุง,ต้องการความหวาน เพิ่มรสชาติให้เมนูอาหาร,23.16,50,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""1""}","{""x"": 16.5, ""y"": 0.5, ""z"": 12.0}"
PRD-D19F6693,น้ำตาลทราย ขนาดเล็ก,มิตรผล,อาหาร/เครื่องปรุง,ต้องการความหวาน เพิ่มรสชาติให้เมนูอาหาร,19.88,34,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""1"", ""shelf_level"": ""1""}","{""x"": 1.0, ""y"": 0.5, ""z"": 12.0}"
PRD-0B1981EB,ผงชูรส,อายิโนะโมะโต๊ะ,อาหาร/เครื่องปรุง,ทำอาหารแล้วรู้สึกว่ายังขาดความนัว ต้องเติมความอร่อย,32.47,25,"{""zone"": ""A"", ""section"": ""4"", ""shelf"": ""4"", ""shelf_level"": ""2""}","{""x"": 16.5, ""y"": 1.3, ""z"": 12.0}"
